epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.98757,4.40286,8.19939,4.39227,4.19033,0,0,0,0,0,0,0,0,0,4.58611,5.14784,4.11154,4.15895,0,1.429e-05,1.429e-05,1.429e-05
2,5.4167,4.78112,7.3134,4.39782,4.19464,0,0,0,0,0,0,0,0,0,4.58602,5.14725,4.11449,4.15913,0,4.27851e-05,4.27851e-05,4.27851e-05
3,7.61836,4.7642,8.32899,4.41862,4.21229,0,0,0,0,0,0,0,0,0,4.58598,5.14813,4.1146,4.15856,0,7.11671e-05,7.11671e-05,7.11671e-05
4,9.82545,4.62741,7.51087,4.41711,4.18952,0,0,0,0,0,0,0,0,0,4.58566,5.14807,4.11443,4.15917,0,9.94358e-05,9.94358e-05,9.94358e-05
5,12.022,4.66829,10.5543,4.43535,4.23422,0,0,0,0,0,0,0,0,0,4.58576,5.14885,4.11735,4.15836,0,0.000127591,0.000127591,0.000127591
6,14.2781,4.76107,6.88869,4.40074,4.19703,0,0,0,0,0,0,0,0,0,4.58539,5.14855,4.11929,4.15831,0,0.000155634,0.000155634,0.000155634
7,16.6038,4.5854,6.89948,4.42703,4.19482,0,0,0,0,0,0,0,0,0,4.58352,5.14907,4.11752,4.1566,0,0.000183563,0.000183563,0.000183563
8,19.0461,4.91728,6.41029,4.35551,4.1462,0,0,0,0,0,0,0,0,0,4.57919,5.14804,4.1203,4.15414,0,0.000211379,0.000211379,0.000211379
9,21.3654,4.48927,6.57678,4.32175,4.16808,0,0,0,0,0,0,0,0,0,4.57929,5.14831,4.1204,4.15402,0,0.000239082,0.000239082,0.000239082
10,23.7147,4.7078,6.44869,4.34515,4.15691,0,0,0,0,0,0,0,0,0,4.57506,5.14856,4.12121,4.15117,0,0.000266672,0.000266672,0.000266672
11,26.0661,4.76389,5.21244,4.37497,4.10791,0,0,0,0,0,0,0,0,0,4.57182,5.14784,4.1214,4.14877,0,0.000294148,0.000294148,0.000294148
12,28.4101,4.7265,5.52796,4.36756,4.10033,0,0,0,0,0,0,0,0,0,4.5684,5.14654,4.12134,4.14445,0,0.000321512,0.000321512,0.000321512
13,30.8877,4.70405,5.51268,4.35277,4.10575,0,0,0,0,0,0,0,0,0,4.56212,5.14838,4.11973,4.14018,0,0.000348762,0.000348762,0.000348762
14,33.2828,4.57961,5.41526,4.30298,4.1139,0,0,0,0,0,0,0,0,0,4.55925,5.14651,4.12311,4.13819,0,0.000375899,0.000375899,0.000375899
15,35.6594,4.48846,5.70927,4.33582,4.14187,0,0,0,0,0,0,0,0,0,4.55227,5.14632,4.12381,4.13259,0,0.000402923,0.000402923,0.000402923
16,38.1967,4.42183,5.09592,4.30873,4.0714,0,0,0,0,0,0,0,0,0,4.54309,5.14299,4.1225,4.12508,0,0.000429833,0.000429833,0.000429833
17,40.5654,4.55449,5.07431,4.32249,4.06799,0,0,0,0,0,0,0,0,0,4.53344,5.14018,4.119,4.11627,0,0.000456631,0.000456631,0.000456631
18,42.9478,4.73407,5.03448,4.29582,4.04431,0,0,0,0,0,0,0,0,0,4.5173,5.13669,4.11764,4.10614,0,0.000483315,0.000483315,0.000483315
19,45.309,4.27425,5.05106,4.31734,4.04167,0,0,0,0,0,0,0,0,0,4.5064,5.13342,4.11802,4.09568,0,0.000509886,0.000509886,0.000509886
20,47.6685,4.32758,5.02346,4.30869,4.00003,0,0,0,0,0,0,0,0,0,4.49023,5.12977,4.11704,4.08416,0,0.000536344,0.000536344,0.000536344
21,50.1332,4.54802,4.98087,4.30614,4.03258,0,0,0,0,0,0,0,0,0,4.47917,5.12272,4.11183,4.07466,0,0.000562689,0.000562689,0.000562689
22,52.5128,4.11022,4.95364,4.26991,3.96552,0,0,0,0,0,0,0,0,0,4.4624,5.11686,4.11097,4.06444,0,0.00058892,0.00058892,0.00058892
23,54.8611,4.16117,4.90058,4.27469,3.895,0,0,0,0,0,0,0,0,0,4.44979,5.10803,4.10495,4.05588,0,0.000615039,0.000615039,0.000615039
24,57.2754,4.37012,4.86289,4.22834,3.80339,0,0,0,0,0,0,0,0,0,4.43634,5.1057,4.10072,4.04809,0,0.000641044,0.000641044,0.000641044
25,59.6345,3.99606,4.74059,4.201,3.75744,0,0,0,0,0,0,0,0,0,4.41749,5.10717,4.09613,4.03535,0,0.000666936,0.000666936,0.000666936
26,62.0271,3.93937,4.72269,4.16381,3.67022,0,0,0,0,0,0,0,0,0,4.38573,5.11494,4.09282,4.01029,0,0.000692715,0.000692715,0.000692715
27,64.4451,3.99693,4.668,4.14756,3.70406,0,0,0,0,0,0,0,0,0,4.35613,5.12438,4.08628,3.98901,0,0.000718381,0.000718381,0.000718381
28,66.8436,3.94107,4.66936,4.19052,3.66597,0,0,0,0,0,0,0,0,0,4.35613,5.12438,4.08628,3.98901,0,0.000743933,0.000743933,0.000743933
29,69.2549,3.77387,4.5893,4.10925,3.58155,0,0,0,0,0,0,0,0,0,4.33113,5.12046,4.07942,3.96584,0,0.000769372,0.000769372,0.000769372
30,71.6981,3.80865,4.55977,4.03374,3.58122,0,0,0,0,0,0,0,0,0,4.26481,5.12246,4.07119,3.92426,0,0.000794699,0.000794699,0.000794699
31,74.0842,3.7054,4.57688,3.98507,3.54243,0,0,0,0,0,0,0,0,0,4.26481,5.12246,4.07119,3.92426,0,0.000819912,0.000819912,0.000819912
32,76.4315,3.59807,4.46757,3.97947,3.51568,0,0,0,0,0,0,0,0,0,4.18935,5.12019,4.06215,3.8765,0,0.000845011,0.000845011,0.000845011
33,78.8853,3.75123,4.37591,3.99767,3.45001,0,0,0,0,0,0,0,0,0,4.19408,5.11117,4.05014,3.8782,0,0.000869998,0.000869998,0.000869998
34,81.1842,3.79447,4.33281,3.92877,3.40859,0,0,0,0,0,0,0,0,0,4.19408,5.11117,4.05014,3.8782,0,0.000894872,0.000894872,0.000894872
