epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4795,2.85551,5.53318,3.98635,2.31468,0,0.01621,0.04333,0.01074,0.00471,0.01122,0.03,0.00725,0.00201,2.36244,4.35567,3.70507,2.08111,0,1.429e-05,1.429e-05,1.429e-05
2,16.5046,2.85746,5.71785,3.98072,2.24015,0,0.01144,0.04333,0.00999,0.00383,0.00704,0.02667,0.00464,0.00121,2.41502,4.41299,3.71624,2.12876,0,4.27851e-05,4.27851e-05,4.27851e-05
3,18.4411,2.76234,5.28821,3.97476,2.28578,0,0.01534,0.08333,0.01845,0.00736,0.01288,0.07,0.01432,0.00315,2.14852,4.0522,3.67784,1.93615,0,7.11671e-05,7.11671e-05,7.11671e-05
4,20.458,2.32387,4.27409,3.84249,1.96835,0,0.0148,0.14889,0.02334,0.00866,0.01382,0.09,0.02134,0.00559,1.91197,3.75795,3.60108,1.70323,0,9.94358e-05,9.94358e-05,9.94358e-05
5,22.4655,1.98621,3.55575,3.67465,1.69316,0,0.02281,0.24111,0.03675,0.01292,0.02007,0.17222,0.03358,0.01141,1.97766,3.57389,3.56812,1.69977,0,0.000127591,0.000127591,0.000127591
6,24.3923,1.79548,3.33148,3.45465,1.4905,0,0.03056,0.31667,0.05244,0.01912,0.02812,0.25111,0.05712,0.01758,1.97268,3.54476,3.52362,1.69015,0,0.000155634,0.000155634,0.000155634
7,26.3211,1.73473,3.23421,3.3467,1.40663,0,0.04658,0.39889,0.07215,0.02789,0.04152,0.37889,0.07299,0.02607,1.90041,3.66861,3.49445,1.61548,0,0.000183563,0.000183563,0.000183563
8,28.244,1.69852,3.02555,3.08244,1.3476,0,0.04527,0.61889,0.11079,0.04699,0.03915,0.58556,0.10004,0.04492,1.88966,3.85072,3.41142,1.53953,0,0.000211379,0.000211379,0.000211379
9,30.1021,1.59507,2.83171,2.97701,1.29724,0,0.03692,0.61889,0.1384,0.07308,0.03643,0.61556,0.13801,0.06658,1.92487,3.80347,3.37376,1.53709,0,0.000239082,0.000239082,0.000239082
10,32.1383,1.54773,2.72376,2.92845,1.24057,0,0.0394,0.64556,0.20677,0.12976,0.03708,0.62889,0.19939,0.10206,1.92961,3.63285,3.34689,1.54255,0,0.000266672,0.000266672,0.000266672
11,34.1525,1.5631,2.57479,2.80184,1.23429,0,0.04087,0.65556,0.23578,0.13868,0.04272,0.66889,0.23223,0.12142,1.91282,3.55759,3.33509,1.51662,0,0.000294148,0.000294148,0.000294148
12,36.2162,1.682,2.75026,2.87411,1.27373,0,0.04053,0.65889,0.24131,0.12008,0.04189,0.66889,0.24342,0.12462,1.95212,3.54899,3.34114,1.52316,0,0.000321512,0.000321512,0.000321512
13,38.2019,1.54628,2.5286,2.71351,1.20187,0,0.04066,0.66889,0.24243,0.10428,0.04284,0.68556,0.24432,0.12019,1.89635,3.50281,3.3193,1.47003,0,0.000348762,0.000348762,0.000348762
14,40.2185,1.58132,2.58981,2.52678,1.22584,0,0.03982,0.67222,0.22359,0.11144,0.04107,0.68222,0.23308,0.11658,1.82975,3.35882,3.29341,1.43155,0,0.000375899,0.000375899,0.000375899
